Content,Target
বাঁধ খুললো কেন  এই প্রশ্নের চেয়ে জরুরী প্রশ্ন হওয়া উচিত বাঁধ দিলো কেনঅনেকে বলছে যে বাঁধ না খুললে ভারতের ত্রিপুরা ডুবে যেতো তারা বাধ্য হয়ে ছেড়েছে। পরে বাঁধ অটো ভেঙেই যেতো। তখন আরো বেশী ক্ষতি হত। তাই এখানে আসলে ভারতের দোষ নেই। চলুন এই কথাটার ফাঁকটা বুঝার চেষ্টা করি একটু। নদী চলবে নদীর মত। এতে তারা বাঁধ দিল কেনো শুরুতেই কারণ তারা বাংলাদেশকে পানি বঞ্চিত করে রেখেছিল এতদিন। নদীকে নদীর মত চলতে দিলে নদীর গভীরতা এবং প্রশস্ততা ঠিক থাকতো। হঠাৎ বেশী পানি আসলেও নদী তা সহ্য করতে পারতো। পানি সহজে সমুদ্রে পৌছতো।কিন্তু বাঁধ দেয়ার কারণে বাংলাদেশের নদীগুলো শুঁকিয়ে খালের মত হয়ে গিয়োছে। পলি জমে অগভীর হয়ে গিয়েছে জায়গায় জায়গায় চর জন্মেছে। এখন হঠাৎ পানি ছেড়ে দিলে এই অগভীর এবং চিকন নদীগুলো সেই পানি ধারণ করতে না পেরে আশেপাশের সব ডুবিয়ে দেয়। এবার বুঝেছেন আসল কাহিনীকোন লোক এখন ভারতের সাফই গাইতে আসলে বা কোন ধানাই পানই করলে যেমন ভারতের তো উপায় ছিল না তাই বাধ্য হয়ে বাঁধ ছেড়েছে ওরে থাপ্পড় মেরে বলবেন তাহলে বাঁধটা শুরুতে দিয়েছিল কেনো,1
আল্লাহ এর বিচার করবেন ইনশাআল্লাহ,1
আপার কেরামত,1
গাজওয়াতুল হিন্দ বলতে কি বুঝায়গাজওয়াতুল হিন্দ হচ্ছে ইসলামের সর্বশেষ নবি মুহাম্মাদের একটি ভবিষ্যদ্বাণী যেখানে উল্লেখ আছে ভারতীয় উপমহাদেশে মুসলিম ও অমুসলিমদের মধ্যে একটি যুদ্ধ সংঘটিত হবে যাতে মুসলমানদের বিজয় ঘটবে।,1
🤬,1
আমাদের প্রতিবেশীদের ক্রমবর্ধমান আগ্রাসী পররাষ্ট্রনীতির কারণে আমাদের নদীর পানির ন্যায্য হিস্যা আমরা কখনোই পাইনি।,1
একটা কাউন্টার বাধ তৈরি করে সালাভাইদের দুচে দিতে হবে,1
বাংলাদেশের  হিন্দুদের বাড়ি ঘর মন্দির ডুবে গেছে ভারতের পানিতেজাগো হিন্দু জাগোশাহবাগ এখন আসো।,1
গ্যাস অফ করার আওয়াজ উঠানো অনেক জরুরি,1
১ দফা  ১ দাবি  🇧🇩  দেশে প্রথম কাজ শুরু হোক।তাদের প্রতিটি বাঁধের বিপরিতে তার চেয়ে বড় বাঁধ নির্মাণ করে।প্রয়োজনে দেশের সব জনগন মিলে ফান্ড তৈরি করো।দেশ বাঁচাতে সবাই ধর্ম জাত দল নির্বিশেষে সবাই এগিয়ে আসো 🙏 আওয়াজ তুলো।,1
এই বৃষ্টিজনিত বন্যার জন্য যারা ভারতকে দায়ী করছে তারা ইমান হারিয়েছে। কারণ বৃষ্টি দেয় মিকাইল আঃ।,1
ভারতের দূতাবাস ঘেরাও দূতকে তলব এবং আন্তর্জাতিক আদালতে মামলা করা উচিত। এরপরেও ঠিক না হলে সাইবার অ্যাটাক করে তাদের সাইবার স্পেস তছনছ করে দেওয়া উচিত ২০১২ এর মতো।,1
অসুবিধা নাই। তোগো গোয়ায় বাঁশ দেওয়ার জন্য গ্লোবাল ওয়ার্মিং আর মাউন্ট এভারেস্ট সহ পুরো পর্বতশৃঙ্গ এরিয়াই যথেষ্ট আল্লাহ ছাড় দেনছেড়ে দেন না।,1
ভারতীয় পণ্য বর্জন করুন,1
এসব প্রতিশোধ নেওয়া বোকামি তারা প্রতিবারই নিজ ভূমি  রক্ষার্থে  এসব করে এই অযুহাত দিয়ে পানি ছাড়ে।আমাদের ওদের চেয়েও শক্তিশালী  বাধ নিমার্ণ করতে হবে যত দ্রুত সম্ভব।,1
সবচেয়ে নিকৃষ্ট জঘন্য  মানবসন্তান ফিরাউনের বংশধর ওরা,1
সব খুনি হাসিনার চক্রান্ত ভারতে বসে কিভাবে বাংলাদেশের ক্ষতি করা যায়,1
তেনারা ইচ্ছে না হলে ঘাসের পাতা নড়ে না বন্যা কি করে হয়ে গেলো  তার মানে ভারত তেনার থেকেও বড়ো 😯😯😯,1
কুত্তা,1
ভারতীয় কোনো দালাল রাখা যাবে না এ দেশ এ।,1
জানোয়ার,1
বাংলাদেশের আকাশসিমা ভারতের কেন,1
এখন সংখ্যালঘুদের প্রতিবাদ হবে না কারণ আব্বা দেশের পানি তো আর্শিবাদ,1
পশ্চিমবং সরকারকে দুষবেন না সেটার কারন অনেকের জানা।মমতা যখন তিস্তার পানি দিতে মানা করে তখন আপনারা কোন প্রকার মন্তব্য করেন না।চুপ মেরে থাকেন।কারন মমতা ওইপারে তোমার মুস্লিম ভাইয়ের কোলে তুলে নাচে।,1
হাড্ডি কখনো গোস্ত হয় না ভারত  কখনো  বন্ধু  হয় না,1
বাঁধ খুলে দিক ভারত,1
🤣😂🤣 নে এই জলে এবার ইলিশ চাষ করে খা।,1
আমার মনে হয় বাঁধ নির্মাণের চেয়ে বেশি কার্যকরী হবে নদী খননের উদ্যেগ গ্রহণ করলে। কারণ আমরা ভাটি অঞ্চলে থাকি৷ দেশের চারপাশে বাঁধ নির্মাণ করা পসিবল না৷ কিছু গুরুত্বপূর্ণ পয়েন্টে করা যেতে পারে যদি কার্যকরী হয়৷ তবে নদী বাঁচানোই হবে মোকাবিলা করার সবচেয়ে বড় হাতিয়ার। দেশের অধিকাংশ নদী মৃত প্রায়। নদী ভরাট করে অবৈধ ঘরবাড়ি দোকানপাট করা হচ্ছে। এসব ক্ষেত্রে সরকারের পদক্ষেপ নেওয়া জুরুরি। নদী গুলো বাঁচলেই পানি ধারণ ক্ষমতা বাড়বে৷ মানুষও বাঁচবে হঠাৎ বন্যার কবল থেকে। নদী খননের বেনিফিটও বেশি হবে৷ পানি শুষ্ক মৌসুমে কাজে আসবে৷ মাছের জীববৈচিত্র্য রক্ষা পাবে৷ নদীকে কেন্দ্র করে ব্যবসা বাণিজ্য প্রতিষ্ঠান গড়ে উঠবে৷ নতুন কর্মসংস্থানের সৃষ্টি হবে৷,1
ভারতের রাষ্ট্রধুতকে তলব করে নিন্দা জানান।আমরা একা নয়,1
এর পরিনতি ভারতের শেষ ডেকে আনবে ।,1
বাংলাদেশে যেসব ভারত প্রেমী আছেএই পানি তাদের জন্য ভালোবাসার উপহার।এতকিছুর পরেও ভারত কে ভালোবাসা তাদের বন্ধ হবে না।,1
ভারত শুয়োরের বাচ্চা,1
ধ্বংস হোক ভারত,1
এবার কিন্তু কেউ সংখ্যালঘু নয়🤫🤫,1
প্রতিটা কর্মের ফল আছে,1
সংখ্যালঘু রা এখন ইন্ডিয়া এর পানি দেখতে পারেছে নাহ।,1
আজ বুঝলাম  সেকেন্ড ওয়ার্ল্ড ওয়ারের সময় কেন ফেনীতে একটা এয়ারপোর্ট ছিল। জিও পলিটিক্স শেখ হাসিনা কেন আপনি জায়গা খুঁজছেন একটা এয়ারপোর্ট করার জন্য এই এয়ারপোর্টটা করতে পারতেন শুধু শুধু টাকা গুলো নষ্ট করল,1
কেন গতকাল যখন ভারতের একটা বাধ ভেঙে গেলো তখন তো আলহামদুলিল্লাহ বলছেন আজ যখন সেই পানি এসে দেশে বন্যা হচ্ছে তখন ইন্না নিল্লাহ পড়তাছেন সরকার বন্যা নিয়ন্ত্রণ করতে না পড়ে এখন ভারতীয় ষড়যন্ত্র বলে চালিয়ে দিচ্ছে।,1
গ্যাস বিদ্যুৎ লাগবে না তোদের আসিস ভরে দিবো হাসু কে নিয়ে ই থাকতে হবে তোদের,1
মাদারবোর্ড মোদী💯💥🙂,1
আল্লাহ এদের কঠিন পরিনতি দেখাইও,1
হাসিনার মোদির গালে গাশে গু লাগিয়ে জুতা মারো তালেতালে🇧🇩✊,1
সকল ভারত প্রেমীদের এই পানিতে নিয়ে  চুবানো উচিত।বাংলাদেশ দখল এর উপক্রম হলেও এদের ভারত প্রেম কমবে না।তখন বলবে ভালোই হচ্ছে ফ্রিতে গুড়তে পারব।এদের কোনোদিন চোখ খুলবে না।,1
মোদীজি ফারাক্কার গেটটাও খোলার ব্যবস্থা করুন। কাংলাদের বঙ্গোপসাগরে ভাসিয়ে দেওয়া হোক।,1
দিল্লির সঙ্গে লড়তে গেলে হিন্দি বা ইংলিশে কথা বলতে হবে। আর যদি ওয়েস্ট বেঙ্গলের সঙ্গে লড়তে চাস তাহলে বাংলাতে কথা বলিস কোন সমস্যা নেই। কিন্তু এটা বলিস না কোনদিনও যে ওয়েস্ট বেঙ্গলের লোকের কাছে অনেক টাইম আছে যে তারা ফালতু ফালতু কমেন্ট করে আমরা তো ওয়েস্ট বেঙ্গল লোকের সঙ্গে লড়তে চাই না আমরা তো দিল্লির সঙ্গে লড়তে চাই। তোরা মনে করিস বাংলায় পোস্ট করে দিল হিন্দি বা ইংলিশে রিপ্লাই আসবে। বলদ কোথাকার।,1
জানোয়ার,1
এইভাবে মুসলিমদের কে ভাসিয়ে দেয়া হবে,1
এখানে ভারতের কিছু ৪র্থ শ্রেনীর নাগরিকগন এসে গে গে করবে,1
নেড়ে দের জন্য ঠিক আছে মানুষ হলে দুঃখ পেতাম,1
এগুলো ভারতের দোষ নাদোষী ওরা যারা গোলামী করতে পছন্দ করেবাংলাদেশ ৫২৫৩ বৎসর হোল কিন্তু ভারতের এই নরপশুর খেলা বন্ধ করতে পারলোনাবাংলাদেশের কোটি কোটি টাকা পাচার হয়েছে এই অর্থ দিয়ে ভারতের মতো সুইজগেট ১০টা বানানো যেতোআফসোস বাংলাদেশের একমাত্র নীতিবান দল জামাত এরা দেশের কল্যানে কাজ করে বাকিগুলো বাবা মুক্তিযুদ্বের দোহাই দিয়ে দেশকে লুটেছে,1
যে যত ভারত বিরোধীসে তত দেশ প্রেমিক।,1
আপনাদের নৌসেনা বায়ুসেনা এরা কি করছে সাধরণ মানুষ এসব রেসকিউ পারে করতে এসব ক্ষেত্রে এনডিআরএফ  এর টিম দরকার হয়। শুধু ইন্ডিয়া কেই দোষ দিয়ে যান । আপনাদের নেতা গুলোও আপনাদের সুযোগ নেয়। কোনো দায়িত্ব নেই । ফেসবুকে এন্টি ইন্ডিয়া দুটো পোস্ট করে নিশ্চিন্তে ঘুমাচ্ছে। ইয়ার্কি এগুলো আর আপনারাও নিজের মন কে সান্তনা দিচ্ছেন এগুলো তো  ইন্ডিয়া করছে । এইবছর লা নিনার যে এফেক্ট পড়তে পারে অগাষ্ট সেপ্টেম্বর মাসে আপনাদের আবহাওয়া দপ্তর জানত না তারা কেনো নদীর উপকূলবর্তী অঞ্চল এর মানুষ দের আগে থেকে সাবধান করেনি যখন আপনাদের জীবন নিয়ে আপনাদের সরকারের ই দায় নেই সেখানে ইন্ডিয়ার থেকে আশা করেন কি করে দুদিন হয়ে গেলো। কোনো রেসকিউ অপারেশন নেই আপনাদের সরকারের । আর ও ইন্ডিয়া কে গালাগালি দিন। এরপর দেখবেন আপনাদের সরকার থেকেই ইন্ডিয়ার হেল্প চাইছে। কিচ্ছু বলার নেই আপনাদের।,1
এখানে ভারতের কি দোশ,1
বউয়ের কথা তো রাখতেই হবে,1
এখন সবাই ভারতকে ভালোবাসে বন্ধু বলবে। কয়দিন আগে যারা ভারতের জলবিদ্যুৎ প্রকল্প পানিতে ভেংগে গিয়েছে নিউজ শুনে খুশিতে  আলহামদুলিল্লাহ এবং ঈদ মুবারক লিখেন তারা এখন কই,1
ধন্যবাদ মোদি জিএবারে বুঝবে দালাল ইউসুফ নিজের ওকাদ ।।খুব লাফাচ্ছিল ।।তিস্তা আর ফারাক্কার পানিও ছেড়ে দেওয়ার জন্য অনুরোধ করছি 🙏🙏,1
নাস্তিকটার বিচার আল্লাহ করবে,1
আল্লাহ একদিন বাংলাদেশকে বিপদ থেকে রক্ষা করবে কিন্তু তুই কুত্তার বাচ্চা সারা জীবন বাংলাদেশের কাছে নদী দস্যু হয়ে থাকবি।,1
এখন ভারতের গণমাধ্যম গুলো এসব  কেন প্রচার করছে না আর বলছেনা ভারতের কারনে বাংলাদেশের কতো ক্ষয়ক্ষতি হচ্ছে।,1
মদিরে দুচি,1
পদ্মা সেতু যদি হইতে পারে তবে বাধঁও হইতে পারেএবার তাহলে বাধেঁর সামনে বাধঁই হউক✊🇧🇩,1
মোদি একটা পাকা খণিকের ছেলে।,1
এদের উপর আল্লাহর গজব পরে না,1
হাহা দেয়া সবাই হিন্দু।বাংলাদেশী হিন্দুরাও আছে এতে।এরাই আবার ভিক্টিম গেম খেলে। আগেও বলেছি বাংলাদেশী হিন্দুরা কখনোই বাংলাদেশকে নিজের দেশ মনে করে না,1
,1
ভারতীয় সকল পণ্য  বয়কট  করা হক,1
বোকাচোদামমতা কে গালি দে মোদিকে না মূর্খ চোদা।,1
দাদারা তাদের দেশের ভাল করবে কে মরলো বাচলো সেটা দেখে না ঠিককিন্তু আমাদের দেশে নদী নালা খাল বিল দখল করে  পরিকল্পনাহীন ভবে ব্রিজ কালভাট তৈরি করেছে নদী খননে হাজার কোটি টাকা লোপাট করেছে দোষটা তাদেরনদী খেকোদের এখন বন্যার পানিতে ছেড়ে দিতে হবে,1
তার ও যে কি হবে উপর ওয়ালাই জানে।,1
সময় এসেছে ভাড়তকে তাদের হিসাব কড়ায় গন্ডায় বুঝিয়ে দেওয়ার।,1
গতকাল প্রবল বর্ষণে ভারতের তিস্তা নদীর জলবিদ্যুত প্রকল্প ভেঙে ধসে যাওয়ার সংবাদে কিছু মানুষ আলহামদুলিল্লাহ্‌ লিখেছিলো খুশি হয়েছিলো। অথচ এটা বোঝেনা তোমরা ভাটির দেশের মানুষ। ঐ জল গড়িয়ে বাংলাদেশের উপর দিয়েই প্রবাহিত হবে। ত্রিপুরার ডুম্বুর গেট খুলে দিতে বাধ্য হয়েছে ভারত তারা গতকাল সারাদিন অপেক্ষা করেছে। রাতে অবস্থা এতটাই খারাপের দিকে যাচ্ছিলো যে গেট খুলে না দিলে জলের তীব্র স্রোতে গেট ভেঙে জল বাংলাদেশে প্রবেশ করত। এতে ক্ষয়ক্ষতির পরিমাণ হতো আরো বেশী। বাংলাদেশ মানেই অশিক্ষার অন্ধকার।,1
নরেন্দ্র মোদী তুই একদিন এই নদীতে ডুবে মরবি।,1
পানি স্বাভাবিক পথ ধরে আসে। এখানে জল আসবে। আসবে  অস্ত্র ও হামলা হিসেবে। হামলা বটেকিন্তু অস্বীকৃত। তাদের আছে জল আমাদের আছে সাত বোনের বন্ধুরাযারা আমাদের পাশে পেতে  চায়। তাদের সাথে আমরা বন্ধুত্বকে করবো প্রগাঢ়। প্রয়োজনে ১০০ ট্টাক ভর্তি বন্ধুত্ব পাঠাবো।তোমরা আমাদের দেবে জলআমরা বিনিময়ে দেবো ট্টাক। বন্ধুত্ব সমানে সমান।কবি মুসা আল হাফিজ লিখেছেন,1
ইনশাআল্লাহ।এই সমস্যার মোকাবিলা  জনগন যে যা পারে সেই ভাবে সাহায্য করবে।৷ কেউ শ্রম দিয়ে কেউ টাকা দিয়ে। ভারত এর নিচু মন নয়। কারন হলো গতো জুলাই মাসের নৃশংস গনহত্যার ফোকাস থেকে মানুষ কে দুরে সরানো। এই বন্যা হলো রাজনৈতিক কৌশল। কারন গতো জুলাই মাসের ন্যাকার জনক ঘটনা থেকে মানুষ কে দুরে সরিয়ে নেওয়ার কৌশল।  যে কৌশল হাসিনা এবং মুদি মিলে এই করছে। বন্যার পানি দিয়ে আমার ছাত্র জনতার তাজা রক্ত ধোয়ার অপচেষ্টা ছারা আর কোন রাজনৈতিক কারন নেই। সবাই সাবধান।  কেউ জুলাই মাসের ফোকাস থেকে সরবেন না।।।। আমারা এই রকম বন্যা আরো আগে ও মোকাবিলা করছি। এই গুলো ও করতে পারবো। ইনশাআল্লাহ।সবাই দয়া করে জুলাই মাসের নৃশংস গনহত্যার ফোকাস থেকে সরবেন  না।এই আকস্মিক বন্যার কারন হলো জুলাই মাসের নৃশংস গনহত্যার ফোকাস থেকে ছাত্র জনতাকে সরাতে চাচ্ছে।,1
ভারতে বন্যা হয় কেন গজববাংলাদেশে বন্যা হয় কেন ভারতের কারণেপাকিস্তান আফগানিস্তানে বন্যা হয় কেন পরীক্ষাদুবাইয়ে বন্যা হয় কেন মন্দির বানানোর কারণেসৌদিতে বন্যা হয় কেন সিনেমাহল বানানোর কারণেএটাই হলাম আমরাশিক্ষিত জাতি।।পড়াশোনা করে এইসব বুঝলাম💔,1
ওইখানে কি হিন্দু বাড়ি ছিলো না,1
আল্লাহর গজব অবশ্যম্ভাবী,1
‼️ ভারতের এমন একটা মানুষও দেখলাম না যে কমেন্টে ভালো ব্যাবহার করে গেছে এরা মানুষ নামে অন্য কিছু,1
১ আন্তর্জাতিক আদালতে মামলা করতে হবে ২ জাতিসংঘে সকল বাঁধ প্রত্যাহারের দাবি জানাতে হবে।৩ এরপরেও কাজ না হলে সামরিক অভিযান চালিয়ে সকল বাঁধ গুড়িয়ে দিতে হবে এবং প্রয়োজনে যুদ্ধের প্রস্তুতি নিতে হবে। এভাবে সব বাঁধ খুলে দেওয়া বাংলাদেশে হামলার সমতুল্য,1
হাসুর সাথে রাতে বিছানায় শুয়ে করা প্রতিশ্রুতি বাস্তবায়ন করছে মোদি।,1
পবিত্র কাবা সাথে কিছু তুলনা করা বকামি ছাড়া আর কিছুই নয় অবশ্যই এটা পৃথিবীর সবচেয়ে সেরা স্থান । প্রকৃতিক সুন্দর্য দিক দিয়ে কক্সবাজারের মেরিন ড্রাইব ই আমার মন কারে❤️,0
অভিনন্দন প্রিয় ভাই ❤️🥰,0
ছোট বড় সব সময় সবার পাশে আছি ইনশাল্লাহ 🥰❤️,0
ঠিক আছে,0
প্রিয় জায়গা মক্কা মদিনা🥰❤️,0
পৃথিবীর মধ্যে সবচেয়ে প্রিয় জায়গা কক্সবাজার হয় কেমনে,0
এক একজনের পছন্দ একেক রকম হওয়াটাই স্বাভাবিক ما شاء الله,0
শোয়াইব বিন শফিক বিভিন্ন জনকে বিভিন্ন জায়গা ভালো লাগে,0
শোয়াইব বিন শফিক ভাই ওনার লেখা আবার দেখতে পারেন,0
শোয়াইব বিন শফিক  আমিও বুঝলামনা,0
অভিনন্দন,0
ইদ্রিস ভাই 01 আপনার ভালোবাসা চাই ভাই 🙏🙏,0
এত দিন বলেছেন পৃথিবীর মদ্ধে সব থেকে প্রিয় জায়গা মদিনা এখন কক্সবাজার হয়ে গেলো বুঝিনাফাস্ট কমেন্ট,0
❣️,0
💞💞💞 কক্সবাজারে আপনাকে স্বাগতম 🎋,0
ভাই আপনার সাথে দেখা করেত চায় কক্সবাজার আছি,0
মাশাআল্লাহ আলহামদুলিল্লাহ আলহামদুলিল্লাহ চুম্মা আলহামদুলিল্লাহ,0
প্রিয় জায়গা না মক্কা মদিনা কক্সবাজার হলো কবে থেকে,0
❤️❤️❤️,0
ভাই সাইকেল দিয়ে হজ করতে জাবেন কবে,0
🥰🥰❣️💯⬅️⬅️,0
ভাইয়া এখন কোথায় আপনি আপনার সাথে দেখা করবো তাই,0
দোয়া রইলো আপানার জন্যআমার বাড়ি কক্সবাজার,0
আমি কক্সবাজার আছি আলিফ ভাই🫡,0
❤️❤️,0
মাশাআল্লাহ,0
💕,0
না ভাই আপনার এটা ভুল ধারণা পৃথিবীর মধ্যে শ্রেষ্ঠ জায়গা আমাদের প্রিয় নবী হযরত মুহাম্মদ সাল্লাল্লাহু আলাইহি যেখানে ঘুমায় আছে ওটাই হলো প্রিয় জায়গা,0
দিনাজপুরে আসার আহ্বান থাকবে,0
😍😍😍,0
"পৃথীবির মধ্যে সবচেয়ে প্রিয় জায়গা কক্সবাজার হলে ১বছর পায়ে হেঁটে সৌদি আরব মক্কা কিসের জন্য গিয়েছিলেন 

এটা বলতে পারেন বাংলাদেশ এর মধ্যে প্রিয় একটা জাইগা কক্সবাজার বিঃদ্রঃ পৃথীবির মধ্যে এটা বলতে পারেন না 🙂",0

